index,image,annotator,description
1,cuhk03/image=01_set=1_id=0001.png,ees1km,"A medium height asian young adult male with short black hair, white striped black shoes, black socks, grey knee-length shorts, black t-shirts with print on front. He is walking, has a silver watch and is wearing glasses."
2,cuhk03/image=01_set=1_id=0002.png,ees1km,"A slightly overweight middle aged Asian male with green short sleeve shirt, beige trousers, maybe brown shoes and a watch. He has short black hair."
1,cuhk03/image=01_set=1_id=0001.png,rab,"A young man, probably in his late twenties, wearing a black or charcoal colored tee shirt, with a pair of grey colored shorts. The tee shirt has a white colored design on it. He wears a pair of spectacles with a red or brown frame and a pair of white and black high ankle sport shoes, probably of the brand Adidas. His hair is short and black and he is wearing a watch or bracelet on his left arm."
2,cuhk03/image=01_set=1_id=0002.png,rab,"A middle-aged, medium build man, probably an Asian with short black hair. He is wearing a dark green or olive green coloured, polo neck t-shirt with a pair of off-white or beige colored trousers. He also wears a watch on his left arm. His shoes are dark brown or black in colour."
3,cuhk03/image=01_set=1_id=0003.png,rab,"A very slim teenage boy, might be an Asian, with dark, short hair. He is wearing a white coloured, half sleeve, collared shirt and a pair of light blue jeans. He sports a pair of green or brown coloured shoes and it looks like he is holding something like a mobile phone in his left hand. He is possibly waiting for someone."
4,cuhk03/image=01_set=1_id=0004.png,rab,"A slim man, probably in his twenties, wearing a pair of spectacles, walking with his friends. He is wearing a light coloured or white shirt with its full sleeves folded up to his elbows. He wears a pair of dark coloured or black pants with a pair of black shoes and He is not facing the camera."
5,cuhk03/image=01_set=1_id=0005.png,rab,"A profile of a man, in his thirties, medium build and tall. He is wearing a charcoal or black colour t-shirt with a pair of dark colour pants. He wears a pair of spectacles and a pair of white colour sports shoes. He is holding a backpack on his back. He is also holding a white colour polythene bag and a black colour, probably a laptop bag in his right arm."
6,cuhk03/image=01_set=1_id=0006.png,rab,"A slim boy, possibly in his teens with short, black hair. He is holding a backpack on his back and is wearing a pair of spectacles. He wears a white coloured t-shirt with black colour prints on it. He wears a pair of red coloured shorts and a pair of black and white Nike sports shoes. He is wearing a bracelet or watch on his left wrist."
7,cuhk03/image=01_set=1_id=0007.png,rab,"A slim man, probably in his late twenties. He is wearing a full sleeve, collared shirt with his sleeves folded up to his elbows. His shirt is brown in colour and there are white and brown broad checks on it. He is wearing a pair of dark coloured shoes and walking with his friend. He is holding a white colour polythene bag, probably a food pack."
8,cuhk03/image=01_set=1_id=0008.png,rab,"A man in his early thirties, with an unusual hairstyle. His hair is dark and he is wearing a green coloured t-shirt with half sleeves. He wears a pair of dark coloured pants. He appears to be wearing a pair of spectacles. His shoes are white in colour with three black stripes, probably an Adidas."
